ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	2dmreze	256	5	0	116
1	2dmreze	256	5	1	26
2	2dmreze	256	5	2	60
3	2dmreze	256	5	3	29
4	2dmreze	256	5	4	32
5	2dmreze	256	10	0	39
6	2dmreze	256	10	1	31
7	2dmreze	256	10	2	90
8	2dmreze	256	10	3	8
9	2dmreze	256	10	4	21
10	2dmreze	256	10	5	8
11	2dmreze	256	10	6	22
12	2dmreze	256	10	7	12
13	2dmreze	256	10	8	15
14	2dmreze	256	10	9	21
15	2dmreze	256	15	0	21
16	2dmreze	256	15	1	21
17	2dmreze	256	15	2	5
18	2dmreze	256	15	3	11
19	2dmreze	256	15	4	17
20	2dmreze	256	15	5	18
21	2dmreze	256	15	6	18
22	2dmreze	256	15	7	15
23	2dmreze	256	15	8	33
24	2dmreze	256	15	9	13
25	2dmreze	256	15	10	22
26	2dmreze	256	15	11	13
27	2dmreze	256	15	12	22
28	2dmreze	256	15	13	19
29	2dmreze	256	15	14	29
30	2dmreze	256	20	0	16
31	2dmreze	256	20	1	28
32	2dmreze	256	20	2	12
33	2dmreze	256	20	3	19
34	2dmreze	256	20	4	17
35	2dmreze	256	20	5	10
36	2dmreze	256	20	6	12
37	2dmreze	256	20	7	13
38	2dmreze	256	20	8	25
39	2dmreze	256	20	9	9
40	2dmreze	256	20	10	20
41	2dmreze	256	20	11	9
42	2dmreze	256	20	12	10
43	2dmreze	256	20	13	19
44	2dmreze	256	20	14	7
45	2dmreze	256	20	15	11
46	2dmreze	256	20	16	10
47	2dmreze	256	20	17	16
48	2dmreze	256	20	18	16
49	2dmreze	256	20	19	13
50	2dmreze	256	25	0	21
51	2dmreze	256	25	1	16
52	2dmreze	256	25	2	14
53	2dmreze	256	25	3	10
54	2dmreze	256	25	4	6
55	2dmreze	256	25	5	16
56	2dmreze	256	25	6	8
57	2dmreze	256	25	7	4
58	2dmreze	256	25	8	17
59	2dmreze	256	25	9	12
60	2dmreze	256	25	10	8
61	2dmreze	256	25	11	16
62	2dmreze	256	25	12	3
63	2dmreze	256	25	13	11
64	2dmreze	256	25	14	3
65	2dmreze	256	25	15	6
66	2dmreze	256	25	16	7
67	2dmreze	256	25	17	13
68	2dmreze	256	25	18	28
69	2dmreze	256	25	19	19
70	2dmreze	256	25	20	12
71	2dmreze	256	25	21	18
72	2dmreze	256	25	22	6
73	2dmreze	256	25	23	14
74	2dmreze	256	25	24	5
75	2dmreze	256	30	0	13
76	2dmreze	256	30	1	19
77	2dmreze	256	30	2	19
78	2dmreze	256	30	3	13
79	2dmreze	256	30	4	15
80	2dmreze	256	30	5	13
81	2dmreze	256	30	6	11
82	2dmreze	256	30	7	4
83	2dmreze	256	30	8	9
84	2dmreze	256	30	9	11
85	2dmreze	256	30	10	9
86	2dmreze	256	30	11	7
87	2dmreze	256	30	12	10
88	2dmreze	256	30	13	10
89	2dmreze	256	30	14	5
90	2dmreze	256	30	15	6
91	2dmreze	256	30	16	17
92	2dmreze	256	30	17	6
93	2dmreze	256	30	18	11
94	2dmreze	256	30	19	7
95	2dmreze	256	30	20	18
96	2dmreze	256	30	21	5
97	2dmreze	256	30	22	8
98	2dmreze	256	30	23	14
99	2dmreze	256	30	24	10
100	2dmreze	256	30	25	18
101	2dmreze	256	30	26	4
102	2dmreze	256	30	27	3
103	2dmreze	256	30	28	13
104	2dmreze	256	30	29	13
105	2dmreze	256	35	0	9
106	2dmreze	256	35	1	12
107	2dmreze	256	35	2	3
108	2dmreze	256	35	3	6
109	2dmreze	256	35	4	10
110	2dmreze	256	35	5	4
111	2dmreze	256	35	6	5
112	2dmreze	256	35	7	6
113	2dmreze	256	35	8	7
114	2dmreze	256	35	9	6
115	2dmreze	256	35	10	7
116	2dmreze	256	35	11	7
117	2dmreze	256	35	12	19
118	2dmreze	256	35	13	15
119	2dmreze	256	35	14	17
120	2dmreze	256	35	15	16
121	2dmreze	256	35	16	4
122	2dmreze	256	35	17	5
123	2dmreze	256	35	18	8
124	2dmreze	256	35	19	10
125	2dmreze	256	35	20	8
126	2dmreze	256	35	21	14
127	2dmreze	256	35	22	16
128	2dmreze	256	35	23	15
129	2dmreze	256	35	24	6
130	2dmreze	256	35	25	5
131	2dmreze	256	35	26	7
132	2dmreze	256	35	27	6
133	2dmreze	256	35	28	6
134	2dmreze	256	35	29	11
135	2dmreze	256	35	30	15
136	2dmreze	256	35	31	4
137	2dmreze	256	35	32	8
138	2dmreze	256	35	33	10
139	2dmreze	256	35	34	8
140	2dmreze	256	40	0	11
141	2dmreze	256	40	1	6
142	2dmreze	256	40	2	7
143	2dmreze	256	40	3	9
144	2dmreze	256	40	4	4
145	2dmreze	256	40	5	5
146	2dmreze	256	40	6	7
147	2dmreze	256	40	7	7
148	2dmreze	256	40	8	12
149	2dmreze	256	40	9	3
150	2dmreze	256	40	10	11
151	2dmreze	256	40	11	10
152	2dmreze	256	40	12	11
153	2dmreze	256	40	13	10
154	2dmreze	256	40	14	26
155	2dmreze	256	40	15	5
156	2dmreze	256	40	16	5
157	2dmreze	256	40	17	7
158	2dmreze	256	40	18	23
159	2dmreze	256	40	19	5
160	2dmreze	256	40	20	4
161	2dmreze	256	40	21	5
162	2dmreze	256	40	22	13
