ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	binomski	50	3	0	14
1	binomski	50	3	1	35
2	binomski	50	3	2	14
3	binomski	50	4	0	0
4	binomski	50	4	1	1
5	binomski	50	4	2	43
6	binomski	50	4	3	6
7	binomski	50	5	0	2
8	binomski	50	5	1	6
9	binomski	50	5	2	25
10	binomski	50	5	3	5
11	binomski	50	5	4	17
12	binomski	50	6	0	2
13	binomski	50	6	1	6
14	binomski	50	6	2	7
15	binomski	50	6	3	11
16	binomski	50	6	4	24
17	binomski	50	6	5	11
18	binomski	50	7	0	2
19	binomski	50	7	1	7
20	binomski	50	7	2	3
21	binomski	50	7	3	2
22	binomski	50	7	4	3
23	binomski	50	7	5	17
24	binomski	50	7	6	21
25	binomski	50	8	0	2
26	binomski	50	8	1	12
27	binomski	50	8	2	6
28	binomski	50	8	3	2
29	binomski	50	8	4	5
30	binomski	50	8	5	6
31	binomski	50	8	6	10
32	binomski	50	8	7	4
33	binomski	50	9	0	4
34	binomski	50	9	1	11
35	binomski	50	9	2	2
36	binomski	50	9	3	2
37	binomski	50	9	4	17
38	binomski	50	9	5	6
39	binomski	50	9	6	5
40	binomski	50	9	7	11
41	binomski	50	9	8	6
42	binomski	50	10	0	2
43	binomski	50	10	1	7
44	binomski	50	10	2	8
45	binomski	50	10	3	3
46	binomski	50	10	4	14
47	binomski	50	10	5	3
48	binomski	50	10	6	0
49	binomski	50	10	7	1
50	binomski	50	10	8	3
51	binomski	50	10	9	3
52	binomski	50	11	0	6
53	binomski	50	11	1	17
54	binomski	50	11	2	3
55	binomski	50	11	3	11
56	binomski	50	11	4	5
57	binomski	50	11	5	3
58	binomski	50	11	6	1
59	binomski	50	11	7	0
60	binomski	50	11	8	0
61	binomski	50	11	9	5
62	binomski	50	11	10	5
63	binomski	50	12	0	2
64	binomski	50	12	1	2
65	binomski	50	12	2	16
66	binomski	50	12	3	5
67	binomski	50	12	4	11
68	binomski	50	12	5	11
69	binomski	50	12	6	2
70	binomski	50	12	7	1
71	binomski	50	12	8	3
72	binomski	50	12	9	11
73	binomski	50	12	10	15
74	binomski	50	12	11	1
75	binomski	50	13	0	2
76	binomski	50	13	1	2
77	binomski	50	13	2	2
78	binomski	50	13	3	6
79	binomski	50	13	4	9
80	binomski	50	13	5	2
81	binomski	50	13	6	8
82	binomski	50	13	7	2
83	binomski	50	13	8	0
84	binomski	50	13	9	8
85	binomski	50	13	10	5
86	binomski	50	13	11	3
87	binomski	50	13	12	3
88	binomski	50	14	0	7
89	binomski	50	14	1	3
90	binomski	50	14	2	2
91	binomski	50	14	3	7
92	binomski	50	14	4	1
93	binomski	50	14	5	0
94	binomski	50	14	6	1
95	binomski	50	14	7	2
96	binomski	50	14	8	0
97	binomski	50	14	9	3
98	binomski	50	14	10	5
99	binomski	50	14	11	2
100	binomski	50	14	12	2
101	binomski	50	14	13	7
102	binomski	50	15	0	3
103	binomski	50	15	1	5
104	binomski	50	15	2	3
105	binomski	50	15	3	2
106	binomski	50	15	4	4
107	binomski	50	15	5	2
108	binomski	50	15	6	3
109	binomski	50	15	7	2
110	binomski	50	15	8	0
111	binomski	50	15	9	2
112	binomski	50	15	10	3
113	binomski	50	15	11	2
114	binomski	50	15	12	2
115	binomski	50	15	13	7
116	binomski	50	15	14	2
117	binomski	50	16	0	4
118	binomski	50	16	1	4
119	binomski	50	16	2	0
120	binomski	50	16	3	2
121	binomski	50	16	4	6
122	binomski	50	16	5	4
123	binomski	50	16	6	0
124	binomski	50	16	7	3
125	binomski	50	16	8	1
126	binomski	50	16	9	2
127	binomski	50	16	10	3
128	binomski	50	16	11	2
129	binomski	50	16	12	1
130	binomski	50	16	13	0
131	binomski	50	16	14	2
132	binomski	50	16	15	6
133	binomski	50	17	0	3
134	binomski	50	17	1	2
135	binomski	50	17	2	8
136	binomski	50	17	3	5
137	binomski	50	17	4	0
138	binomski	50	17	5	1
139	binomski	50	17	6	6
140	binomski	50	17	7	2
141	binomski	50	17	8	1
142	binomski	50	17	9	1
143	binomski	50	17	10	2
144	binomski	50	17	11	3
145	binomski	50	17	12	0
146	binomski	50	17	13	6
147	binomski	50	17	14	0
148	binomski	50	17	15	1
149	binomski	50	17	16	2
150	binomski	50	18	0	2
151	binomski	50	18	1	0
152	binomski	50	18	2	2
153	binomski	50	18	3	2
154	binomski	50	18	4	10
155	binomski	50	18	5	2
156	binomski	50	18	6	2
157	binomski	50	18	7	3
158	binomski	50	18	8	10
159	binomski	50	18	9	11
160	binomski	50	18	10	2
161	binomski	50	18	11	0
162	binomski	50	18	12	5
163	binomski	50	18	13	0
164	binomski	50	18	14	4
165	binomski	50	18	15	0
166	binomski	50	18	16	8
167	binomski	50	18	17	1
168	binomski	50	19	0	1
169	binomski	50	19	1	6
170	binomski	50	19	2	6
171	binomski	50	19	3	3
172	binomski	50	19	4	7
173	binomski	50	19	5	1
174	binomski	50	19	6	1
175	binomski	50	19	7	0
176	binomski	50	19	8	2
177	binomski	50	19	9	1
178	binomski	50	19	10	0
179	binomski	50	19	11	3
180	binomski	50	19	12	2
181	binomski	50	19	13	0
182	binomski	50	19	14	3
183	binomski	50	19	15	1
184	binomski	50	19	16	2
185	binomski	50	19	17	1
186	binomski	50	19	18	2
187	binomski	50	20	0	3
188	binomski	50	20	1	0
189	binomski	50	20	2	0
190	binomski	50	20	3	1
191	binomski	50	20	4	1
192	binomski	50	20	5	1
193	binomski	50	20	6	8
194	binomski	50	20	7	2
195	binomski	50	20	8	3
196	binomski	50	20	9	1
197	binomski	50	20	10	1
198	binomski	50	20	11	0
199	binomski	50	20	12	0
200	binomski	50	20	13	1
201	binomski	50	20	14	1
202	binomski	50	20	15	3
203	binomski	50	20	16	2
204	binomski	50	20	17	6
205	binomski	50	20	18	0
206	binomski	50	20	19	0
207	binomski	50	21	0	4
208	binomski	50	21	1	1
209	binomski	50	21	2	3
210	binomski	50	21	3	1
211	binomski	50	21	4	3
212	binomski	50	21	5	4
213	binomski	50	21	6	5
214	binomski	50	21	7	0
215	binomski	50	21	8	2
216	binomski	50	21	9	1
217	binomski	50	21	10	2
218	binomski	50	21	11	4
219	binomski	50	21	12	0
220	binomski	50	21	13	2
221	binomski	50	21	14	2
222	binomski	50	21	15	1
223	binomski	50	21	16	2
224	binomski	50	21	17	2
225	binomski	50	21	18	2
226	binomski	50	21	19	1
227	binomski	50	21	20	0
228	binomski	50	22	0	0
229	binomski	50	22	1	0
230	binomski	50	22	2	1
231	binomski	50	22	3	3
232	binomski	50	22	4	6
233	binomski	50	22	5	4
234	binomski	50	22	6	0
235	binomski	50	22	7	4
236	binomski	50	22	8	3
237	binomski	50	22	9	2
238	binomski	50	22	10	2
239	binomski	50	22	11	2
240	binomski	50	22	12	1
241	binomski	50	22	13	0
242	binomski	50	22	14	3
243	binomski	50	22	15	3
