ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	binomski	200	10	0	16
1	binomski	200	10	1	16
2	binomski	200	10	2	33
3	binomski	200	10	3	31
4	binomski	200	10	4	16
5	binomski	200	10	5	41
6	binomski	200	10	6	2
7	binomski	200	10	7	16
8	binomski	200	10	8	16
9	binomski	200	10	9	16
10	binomski	200	20	0	14
11	binomski	200	20	1	5
12	binomski	200	20	2	14
13	binomski	200	20	3	47
14	binomski	200	20	4	38
15	binomski	200	20	5	2
16	binomski	200	20	6	6
17	binomski	200	20	7	6
18	binomski	200	20	8	6
19	binomski	200	20	9	8
20	binomski	200	20	10	8
21	binomski	200	20	11	12
22	binomski	200	20	12	32
23	binomski	200	20	13	2
24	binomski	200	20	14	5
25	binomski	200	20	15	5
26	binomski	200	20	16	6
27	binomski	200	20	17	41
28	binomski	200	20	18	6
29	binomski	200	20	19	32
30	binomski	200	30	0	5
31	binomski	200	30	1	4
32	binomski	200	30	2	0
33	binomski	200	30	3	14
34	binomski	200	30	4	6
35	binomski	200	30	5	7
36	binomski	200	30	6	23
37	binomski	200	30	7	0
38	binomski	200	30	8	4
39	binomski	200	30	9	2
40	binomski	200	30	10	6
41	binomski	200	30	11	6
42	binomski	200	30	12	0
43	binomski	200	30	13	8
44	binomski	200	30	14	6
45	binomski	200	30	15	2
46	binomski	200	30	16	2
47	binomski	200	30	17	14
48	binomski	200	30	18	19
49	binomski	200	30	19	2
50	binomski	200	30	20	6
51	binomski	200	30	21	8
52	binomski	200	30	22	6
53	binomski	200	30	23	6
54	binomski	200	30	24	0
55	binomski	200	30	25	2
56	binomski	200	30	26	6
57	binomski	200	30	27	6
58	binomski	200	30	28	14
59	binomski	200	30	29	14
60	binomski	200	40	0	5
61	binomski	200	40	1	0
62	binomski	200	40	2	0
63	binomski	200	40	3	1
64	binomski	200	40	4	6
65	binomski	200	40	5	3
66	binomski	200	40	6	3
67	binomski	200	40	7	2
68	binomski	200	40	8	0
69	binomski	200	40	9	7
70	binomski	200	40	10	2
71	binomski	200	40	11	5
72	binomski	200	40	12	1
73	binomski	200	40	13	2
74	binomski	200	40	14	7
75	binomski	200	40	15	2
76	binomski	200	40	16	3
77	binomski	200	40	17	4
78	binomski	200	40	18	1
79	binomski	200	40	19	14
80	binomski	200	40	20	3
81	binomski	200	40	21	9
82	binomski	200	40	22	2
83	binomski	200	40	23	0
84	binomski	200	40	24	5
85	binomski	200	40	25	3
86	binomski	200	40	26	5
87	binomski	200	40	27	11
88	binomski	200	40	28	0
89	binomski	200	40	29	8
90	binomski	200	40	30	0
91	binomski	200	40	31	0
92	binomski	200	40	32	8
93	binomski	200	40	33	12
94	binomski	200	40	34	2
95	binomski	200	40	35	6
96	binomski	200	40	36	35
97	binomski	200	40	37	3
98	binomski	200	40	38	2
99	binomski	200	40	39	6
100	binomski	200	50	0	2
101	binomski	200	50	1	2
102	binomski	200	50	2	15
103	binomski	200	50	3	2
104	binomski	200	50	4	6
105	binomski	200	50	5	0
106	binomski	200	50	6	2
107	binomski	200	50	7	0
108	binomski	200	50	8	13
109	binomski	200	50	9	1
110	binomski	200	50	10	1
111	binomski	200	50	11	6
112	binomski	200	50	12	5
113	binomski	200	50	13	1
114	binomski	200	50	14	1
115	binomski	200	50	15	2
116	binomski	200	50	16	7
117	binomski	200	50	17	3
118	binomski	200	50	18	2
119	binomski	200	50	19	5
120	binomski	200	50	20	10
121	binomski	200	50	21	6
122	binomski	200	50	22	1
123	binomski	200	50	23	9
124	binomski	200	50	24	2
125	binomski	200	50	25	3
126	binomski	200	50	26	14
127	binomski	200	50	27	2
128	binomski	200	50	28	3
129	binomski	200	50	29	5
130	binomski	200	50	30	2
131	binomski	200	50	31	0
132	binomski	200	50	32	5
133	binomski	200	50	33	3
134	binomski	200	50	34	0
135	binomski	200	50	35	6
136	binomski	200	50	36	3
137	binomski	200	50	37	0
138	binomski	200	50	38	4
139	binomski	200	50	39	1
140	binomski	200	50	40	3
141	binomski	200	50	41	6
142	binomski	200	50	42	1
143	binomski	200	50	43	0
144	binomski	200	50	44	5
145	binomski	200	50	45	13
146	binomski	200	50	46	1
147	binomski	200	50	47	1
148	binomski	200	50	48	2
149	binomski	200	50	49	5
150	binomski	200	60	0	2
151	binomski	200	60	1	3
152	binomski	200	60	2	2
153	binomski	200	60	3	1
154	binomski	200	60	4	1
155	binomski	200	60	5	3
156	binomski	200	60	6	7
157	binomski	200	60	7	2
158	binomski	200	60	8	1
159	binomski	200	60	9	2
160	binomski	200	60	10	5
161	binomski	200	60	11	6
162	binomski	200	60	12	0
163	binomski	200	60	13	6
164	binomski	200	60	14	2
165	binomski	200	60	15	8
166	binomski	200	60	16	3
167	binomski	200	60	17	1
168	binomski	200	60	18	2
169	binomski	200	60	19	2
170	binomski	200	60	20	8
171	binomski	200	60	21	5
172	binomski	200	60	22	6
173	binomski	200	60	23	0
174	binomski	200	60	24	7
175	binomski	200	60	25	11
176	binomski	200	60	26	5
177	binomski	200	60	27	1
178	binomski	200	60	28	15
179	binomski	200	60	29	0
180	binomski	200	60	30	5
181	binomski	200	60	31	0
182	binomski	200	60	32	4
183	binomski	200	60	33	1
184	binomski	200	60	34	0
185	binomski	200	60	35	1
186	binomski	200	60	36	2
187	binomski	200	60	37	11
188	binomski	200	60	38	3
189	binomski	200	60	39	3
190	binomski	200	60	40	1
191	binomski	200	60	41	6
192	binomski	200	60	42	2
193	binomski	200	60	43	4
194	binomski	200	60	44	0
195	binomski	200	60	45	4
196	binomski	200	60	46	5
197	binomski	200	60	47	0
198	binomski	200	60	48	7
199	binomski	200	60	49	2
200	binomski	200	60	50	0
201	binomski	200	60	51	8
202	binomski	200	60	52	6
203	binomski	200	60	53	0
204	binomski	200	60	54	2
205	binomski	200	60	55	1
206	binomski	200	60	56	2
207	binomski	200	60	57	1
208	binomski	200	60	58	0
209	binomski	200	60	59	3
210	binomski	200	70	0	2
211	binomski	200	70	1	1
212	binomski	200	70	2	2
213	binomski	200	70	3	3
214	binomski	200	70	4	3
215	binomski	200	70	5	2
216	binomski	200	70	6	1
217	binomski	200	70	7	3
218	binomski	200	70	8	0
219	binomski	200	70	9	4
220	binomski	200	70	10	2
221	binomski	200	70	11	0
222	binomski	200	70	12	6
223	binomski	200	70	13	2
224	binomski	200	70	14	0
225	binomski	200	70	15	0
226	binomski	200	70	16	0
227	binomski	200	70	17	5
228	binomski	200	70	18	0
229	binomski	200	70	19	6
230	binomski	200	70	20	7
231	binomski	200	70	21	2
232	binomski	200	70	22	2
233	binomski	200	70	23	2
234	binomski	200	70	24	7
235	binomski	200	70	25	1
236	binomski	200	70	26	6
237	binomski	200	70	27	1
238	binomski	200	70	28	1
239	binomski	200	70	29	5
240	binomski	200	70	30	3
241	binomski	200	70	31	0
242	binomski	200	70	32	1
243	binomski	200	70	33	1
244	binomski	200	70	34	3
245	binomski	200	70	35	3
246	binomski	200	70	36	1
247	binomski	200	70	37	1
248	binomski	200	70	38	5
249	binomski	200	70	39	9
250	binomski	200	70	40	1
251	binomski	200	70	41	1
252	binomski	200	70	42	1
253	binomski	200	70	43	2
254	binomski	200	70	44	8
255	binomski	200	70	45	0
256	binomski	200	70	46	1
257	binomski	200	70	47	0
258	binomski	200	70	48	1
259	binomski	200	70	49	2
260	binomski	200	70	50	3
261	binomski	200	70	51	2
262	binomski	200	70	52	3
263	binomski	200	70	53	1
264	binomski	200	70	54	7
265	binomski	200	70	55	3
266	binomski	200	70	56	6
267	binomski	200	70	57	3
268	binomski	200	70	58	2
269	binomski	200	70	59	2
270	binomski	200	70	60	3
271	binomski	200	70	61	1
272	binomski	200	70	62	0
273	binomski	200	70	63	6
274	binomski	200	70	64	2
275	binomski	200	70	65	3
276	binomski	200	70	66	0
277	binomski	200	70	67	0
278	binomski	200	70	68	1
279	binomski	200	70	69	11
280	binomski	200	80	0	0
281	binomski	200	80	1	2
282	binomski	200	80	2	0
283	binomski	200	80	3	0
284	binomski	200	80	4	2
285	binomski	200	80	5	2
286	binomski	200	80	6	3
287	binomski	200	80	7	1
288	binomski	200	80	8	2
289	binomski	200	80	9	1
290	binomski	200	80	10	5
291	binomski	200	80	11	3
292	binomski	200	80	12	12
293	binomski	200	80	13	1
294	binomski	200	80	14	0
295	binomski	200	80	15	2
296	binomski	200	80	16	2
297	binomski	200	80	17	9
298	binomski	200	80	18	1
299	binomski	200	80	19	1
300	binomski	200	80	20	1
301	binomski	200	80	21	2
302	binomski	200	80	22	0
303	binomski	200	80	23	5
304	binomski	200	80	24	1
305	binomski	200	80	25	3
306	binomski	200	80	26	0
307	binomski	200	80	27	2
308	binomski	200	80	28	3
309	binomski	200	80	29	0
310	binomski	200	80	30	2
311	binomski	200	80	31	1
312	binomski	200	80	32	6
313	binomski	200	80	33	2
314	binomski	200	80	34	3
315	binomski	200	80	35	1
316	binomski	200	80	36	0
317	binomski	200	80	37	0
318	binomski	200	80	38	1
319	binomski	200	80	39	1
320	binomski	200	80	40	7
321	binomski	200	80	41	1
322	binomski	200	80	42	6
323	binomski	200	80	43	1
324	binomski	200	80	44	2
325	binomski	200	80	45	2
326	binomski	200	80	46	3
327	binomski	200	80	47	2
328	binomski	200	80	48	1
329	binomski	200	80	49	2
330	binomski	200	80	50	1
331	binomski	200	80	51	5
332	binomski	200	80	52	1
333	binomski	200	80	53	2
334	binomski	200	80	54	1
335	binomski	200	80	55	2
336	binomski	200	80	56	0
337	binomski	200	80	57	2
338	binomski	200	80	58	2
339	binomski	200	80	59	0
340	binomski	200	80	60	0
341	binomski	200	80	61	0
342	binomski	200	80	62	2
343	binomski	200	80	63	2
344	binomski	200	80	64	0
345	binomski	200	80	65	0
346	binomski	200	80	66	0
347	binomski	200	80	67	0
348	binomski	200	80	68	1
349	binomski	200	80	69	4
350	binomski	200	80	70	0
351	binomski	200	80	71	1
352	binomski	200	80	72	1
353	binomski	200	80	73	20
354	binomski	200	80	74	3
355	binomski	200	80	75	1
356	binomski	200	80	76	3
357	binomski	200	80	77	1
358	binomski	200	80	78	4
359	binomski	200	80	79	2
360	binomski	200	90	0	1
361	binomski	200	90	1	5
362	binomski	200	90	2	2
363	binomski	200	90	3	0
364	binomski	200	90	4	0
365	binomski	200	90	5	1
366	binomski	200	90	6	2
367	binomski	200	90	7	1
368	binomski	200	90	8	6
369	binomski	200	90	9	1
370	binomski	200	90	10	0
371	binomski	200	90	11	1
372	binomski	200	90	12	0
373	binomski	200	90	13	5
374	binomski	200	90	14	2
375	binomski	200	90	15	3
376	binomski	200	90	16	5
377	binomski	200	90	17	0
378	binomski	200	90	18	2
379	binomski	200	90	19	1
380	binomski	200	90	20	4
381	binomski	200	90	21	1
382	binomski	200	90	22	2
383	binomski	200	90	23	0
384	binomski	200	90	24	0
385	binomski	200	90	25	0
386	binomski	200	90	26	0
387	binomski	200	90	27	1
388	binomski	200	90	28	2
389	binomski	200	90	29	2
390	binomski	200	90	30	1
391	binomski	200	90	31	1
392	binomski	200	90	32	0
393	binomski	200	90	33	3
394	binomski	200	90	34	1
395	binomski	200	90	35	4
396	binomski	200	90	36	2
397	binomski	200	90	37	5
398	binomski	200	90	38	0
399	binomski	200	90	39	3
400	binomski	200	90	40	1
401	binomski	200	90	41	1
402	binomski	200	90	42	5
403	binomski	200	90	43	1
404	binomski	200	90	44	2
405	binomski	200	90	45	0
406	binomski	200	90	46	0
407	binomski	200	90	47	0
408	binomski	200	90	48	2
409	binomski	200	90	49	2
410	binomski	200	90	50	1
411	binomski	200	90	51	4
412	binomski	200	90	52	1
413	binomski	200	90	53	4
414	binomski	200	90	54	2
415	binomski	200	90	55	0
416	binomski	200	90	56	2
417	binomski	200	90	57	0
418	binomski	200	90	58	0
419	binomski	200	90	59	1
420	binomski	200	90	60	6
421	binomski	200	90	61	4
422	binomski	200	90	62	0
423	binomski	200	90	63	2
424	binomski	200	90	64	1
425	binomski	200	90	65	1
426	binomski	200	90	66	0
427	binomski	200	90	67	0
428	binomski	200	90	68	3
429	binomski	200	90	69	1
430	binomski	200	90	70	2
431	binomski	200	90	71	5
432	binomski	200	90	72	2
433	binomski	200	90	73	3
434	binomski	200	90	74	1
435	binomski	200	90	75	2
436	binomski	200	90	76	1
437	binomski	200	90	77	2
438	binomski	200	90	78	3
439	binomski	200	90	79	6
440	binomski	200	90	80	1
441	binomski	200	90	81	2
442	binomski	200	90	82	4
443	binomski	200	90	83	2
444	binomski	200	90	84	4
445	binomski	200	90	85	1
446	binomski	200	90	86	1
447	binomski	200	90	87	2
448	binomski	200	90	88	1
449	binomski	200	90	89	1
450	binomski	200	100	0	2
451	binomski	200	100	1	0
452	binomski	200	100	2	1
453	binomski	200	100	3	2
454	binomski	200	100	4	2
455	binomski	200	100	5	1
456	binomski	200	100	6	2
457	binomski	200	100	7	2
458	binomski	200	100	8	2
459	binomski	200	100	9	2
460	binomski	200	100	10	2
461	binomski	200	100	11	0
462	binomski	200	100	12	2
463	binomski	200	100	13	0
464	binomski	200	100	14	0
465	binomski	200	100	15	4
466	binomski	200	100	16	1
467	binomski	200	100	17	1
468	binomski	200	100	18	0
469	binomski	200	100	19	0
470	binomski	200	100	20	3
471	binomski	200	100	21	2
472	binomski	200	100	22	2
473	binomski	200	100	23	0
474	binomski	200	100	24	2
475	binomski	200	100	25	0
476	binomski	200	100	26	2
477	binomski	200	100	27	2
478	binomski	200	100	28	2
479	binomski	200	100	29	4
480	binomski	200	100	30	0
481	binomski	200	100	31	1
482	binomski	200	100	32	0
483	binomski	200	100	33	1
484	binomski	200	100	34	2
485	binomski	200	100	35	4
486	binomski	200	100	36	1
487	binomski	200	100	37	2
488	binomski	200	100	38	0
489	binomski	200	100	39	6
490	binomski	200	100	40	6
491	binomski	200	100	41	0
492	binomski	200	100	42	0
493	binomski	200	100	43	0
494	binomski	200	100	44	0
495	binomski	200	100	45	2
496	binomski	200	100	46	1
497	binomski	200	100	47	0
498	binomski	200	100	48	3
499	binomski	200	100	49	1
500	binomski	200	100	50	0
501	binomski	200	100	51	1
502	binomski	200	100	52	1
503	binomski	200	100	53	1
504	binomski	200	100	54	2
505	binomski	200	100	55	2
506	binomski	200	100	56	0
507	binomski	200	100	57	2
508	binomski	200	100	58	3
509	binomski	200	100	59	0
510	binomski	200	100	60	3
511	binomski	200	100	61	4
512	binomski	200	100	62	1
513	binomski	200	100	63	2
514	binomski	200	100	64	0
515	binomski	200	100	65	1
516	binomski	200	100	66	4
517	binomski	200	100	67	2
518	binomski	200	100	68	2
519	binomski	200	100	69	1
520	binomski	200	100	70	3
521	binomski	200	100	71	2
522	binomski	200	100	72	0
523	binomski	200	100	73	1
524	binomski	200	100	74	1
525	binomski	200	100	75	3
526	binomski	200	100	76	1
527	binomski	200	100	77	0
528	binomski	200	100	78	3
529	binomski	200	100	79	2
530	binomski	200	100	80	2
531	binomski	200	100	81	6
532	binomski	200	100	82	0
533	binomski	200	100	83	0
534	binomski	200	100	84	2
535	binomski	200	100	85	5
536	binomski	200	100	86	1
537	binomski	200	100	87	0
538	binomski	200	100	88	2
539	binomski	200	100	89	1
540	binomski	200	100	90	0
541	binomski	200	100	91	1
542	binomski	200	100	92	2
543	binomski	200	100	93	0
544	binomski	200	100	94	0
545	binomski	200	100	95	1
546	binomski	200	100	96	0
547	binomski	200	100	97	1
548	binomski	200	100	98	1
549	binomski	200	100	99	0
550	binomski	200	110	0	1
551	binomski	200	110	1	1
552	binomski	200	110	2	1
553	binomski	200	110	3	2
554	binomski	200	110	4	2
555	binomski	200	110	5	1
556	binomski	200	110	6	0
557	binomski	200	110	7	2
558	binomski	200	110	8	1
559	binomski	200	110	9	1
560	binomski	200	110	10	0
561	binomski	200	110	11	1
562	binomski	200	110	12	3
563	binomski	200	110	13	1
564	binomski	200	110	14	2
565	binomski	200	110	15	0
566	binomski	200	110	16	0
567	binomski	200	110	17	0
568	binomski	200	110	18	0
569	binomski	200	110	19	3
570	binomski	200	110	20	2
571	binomski	200	110	21	0
572	binomski	200	110	22	2
573	binomski	200	110	23	3
574	binomski	200	110	24	1
575	binomski	200	110	25	0
576	binomski	200	110	26	0
577	binomski	200	110	27	2
578	binomski	200	110	28	3
579	binomski	200	110	29	2
580	binomski	200	110	30	2
581	binomski	200	110	31	1
582	binomski	200	110	32	1
583	binomski	200	110	33	3
584	binomski	200	110	34	2
585	binomski	200	110	35	1
586	binomski	200	110	36	0
587	binomski	200	110	37	2
588	binomski	200	110	38	2
589	binomski	200	110	39	2
590	binomski	200	110	40	1
591	binomski	200	110	41	0
592	binomski	200	110	42	0
593	binomski	200	110	43	2
594	binomski	200	110	44	2
595	binomski	200	110	45	0
596	binomski	200	110	46	0
597	binomski	200	110	47	0
598	binomski	200	110	48	0
599	binomski	200	110	49	0
600	binomski	200	110	50	0
601	binomski	200	110	51	1
602	binomski	200	110	52	2
603	binomski	200	110	53	0
604	binomski	200	110	54	0
605	binomski	200	110	55	0
606	binomski	200	110	56	1
607	binomski	200	110	57	0
608	binomski	200	110	58	8
609	binomski	200	110	59	0
610	binomski	200	110	60	1
611	binomski	200	110	61	0
612	binomski	200	110	62	2
613	binomski	200	110	63	1
614	binomski	200	110	64	1
615	binomski	200	110	65	1
616	binomski	200	110	66	0
617	binomski	200	110	67	0
618	binomski	200	110	68	1
619	binomski	200	110	69	3
620	binomski	200	110	70	0
621	binomski	200	110	71	1
622	binomski	200	110	72	2
623	binomski	200	110	73	0
624	binomski	200	110	74	2
625	binomski	200	110	75	1
626	binomski	200	110	76	0
627	binomski	200	110	77	0
628	binomski	200	110	78	1
629	binomski	200	110	79	2
630	binomski	200	110	80	1
631	binomski	200	110	81	2
632	binomski	200	110	82	2
633	binomski	200	110	83	0
634	binomski	200	110	84	0
635	binomski	200	110	85	2
636	binomski	200	110	86	0
637	binomski	200	110	87	4
638	binomski	200	110	88	0
639	binomski	200	110	89	2
640	binomski	200	110	90	2
641	binomski	200	110	91	2
642	binomski	200	110	92	1
643	binomski	200	110	93	2
644	binomski	200	110	94	2
645	binomski	200	110	95	0
646	binomski	200	110	96	2
647	binomski	200	110	97	1
648	binomski	200	110	98	1
649	binomski	200	110	99	2
650	binomski	200	110	100	2
651	binomski	200	110	101	0
652	binomski	200	110	102	1
653	binomski	200	110	103	1
654	binomski	200	110	104	1
655	binomski	200	110	105	3
656	binomski	200	110	106	2
657	binomski	200	110	107	0
658	binomski	200	110	108	2
659	binomski	200	110	109	2
660	binomski	200	120	0	1
661	binomski	200	120	1	0
662	binomski	200	120	2	1
663	binomski	200	120	3	1
664	binomski	200	120	4	1
665	binomski	200	120	5	1
666	binomski	200	120	6	0
667	binomski	200	120	7	2
668	binomski	200	120	8	0
669	binomski	200	120	9	2
670	binomski	200	120	10	1
671	binomski	200	120	11	2
672	binomski	200	120	12	2
673	binomski	200	120	13	3
674	binomski	200	120	14	2
675	binomski	200	120	15	0
676	binomski	200	120	16	2
677	binomski	200	120	17	1
678	binomski	200	120	18	2
679	binomski	200	120	19	1
680	binomski	200	120	20	2
681	binomski	200	120	21	2
682	binomski	200	120	22	1
683	binomski	200	120	23	0
684	binomski	200	120	24	0
685	binomski	200	120	25	2
686	binomski	200	120	26	0
687	binomski	200	120	27	0
688	binomski	200	120	28	1
689	binomski	200	120	29	0
690	binomski	200	120	30	3
691	binomski	200	120	31	3
692	binomski	200	120	32	1
693	binomski	200	120	33	0
694	binomski	200	120	34	1
695	binomski	200	120	35	2
696	binomski	200	120	36	0
697	binomski	200	120	37	1
698	binomski	200	120	38	0
699	binomski	200	120	39	2
700	binomski	200	120	40	1
701	binomski	200	120	41	2
702	binomski	200	120	42	0
703	binomski	200	120	43	0
704	binomski	200	120	44	2
705	binomski	200	120	45	2
706	binomski	200	120	46	0
707	binomski	200	120	47	1
708	binomski	200	120	48	5
709	binomski	200	120	49	0
710	binomski	200	120	50	3
711	binomski	200	120	51	2
712	binomski	200	120	52	2
713	binomski	200	120	53	3
714	binomski	200	120	54	1
715	binomski	200	120	55	2
716	binomski	200	120	56	3
717	binomski	200	120	57	1
718	binomski	200	120	58	2
719	binomski	200	120	59	1
720	binomski	200	120	60	0
721	binomski	200	120	61	1
722	binomski	200	120	62	2
723	binomski	200	120	63	0
724	binomski	200	120	64	1
725	binomski	200	120	65	0
726	binomski	200	120	66	2
727	binomski	200	120	67	0
728	binomski	200	120	68	1
729	binomski	200	120	69	0
730	binomski	200	120	70	1
731	binomski	200	120	71	1
732	binomski	200	120	72	1
733	binomski	200	120	73	0
734	binomski	200	120	74	0
735	binomski	200	120	75	2
736	binomski	200	120	76	0
737	binomski	200	120	77	2
738	binomski	200	120	78	1
739	binomski	200	120	79	0
740	binomski	200	120	80	2
741	binomski	200	120	81	1
742	binomski	200	120	82	1
743	binomski	200	120	83	1
744	binomski	200	120	84	1
745	binomski	200	120	85	0
746	binomski	200	120	86	3
747	binomski	200	120	87	0
748	binomski	200	120	88	1
749	binomski	200	120	89	0
750	binomski	200	120	90	1
751	binomski	200	120	91	0
752	binomski	200	120	92	1
753	binomski	200	120	93	5
754	binomski	200	120	94	0
755	binomski	200	120	95	1
756	binomski	200	120	96	0
757	binomski	200	120	97	1
758	binomski	200	120	98	0
759	binomski	200	120	99	1
760	binomski	200	120	100	0
761	binomski	200	120	101	2
762	binomski	200	120	102	2
763	binomski	200	120	103	2
764	binomski	200	120	104	1
765	binomski	200	120	105	2
766	binomski	200	120	106	0
767	binomski	200	120	107	1
768	binomski	200	120	108	2
769	binomski	200	120	109	0
770	binomski	200	120	110	0
771	binomski	200	120	111	1
772	binomski	200	120	112	0
773	binomski	200	120	113	1
774	binomski	200	120	114	1
775	binomski	200	120	115	1
776	binomski	200	120	116	1
777	binomski	200	120	117	2
778	binomski	200	120	118	1
779	binomski	200	120	119	2
780	binomski	200	10	0	75
781	binomski	200	10	1	8
782	binomski	200	10	2	15
783	binomski	200	10	3	8
784	binomski	200	10	4	15
785	binomski	200	10	5	31
786	binomski	200	10	6	15
787	binomski	200	10	7	14
788	binomski	200	10	8	14
789	binomski	200	10	9	7
790	binomski	200	20	0	15
791	binomski	200	20	1	2
792	binomski	200	20	2	2
793	binomski	200	20	3	7
794	binomski	200	20	4	6
795	binomski	200	20	5	6
796	binomski	200	20	6	8
797	binomski	200	20	7	31
798	binomski	200	20	8	3
799	binomski	200	20	9	38
800	binomski	200	20	10	14
801	binomski	200	20	11	14
802	binomski	200	20	12	3
803	binomski	200	20	13	8
804	binomski	200	20	14	15
805	binomski	200	20	15	3
806	binomski	200	20	16	7
807	binomski	200	20	17	6
808	binomski	200	20	18	6
809	binomski	200	20	19	2
810	binomski	200	30	0	2
811	binomski	200	30	1	2
812	binomski	200	30	2	6
813	binomski	200	30	3	14
814	binomski	200	30	4	2
815	binomski	200	30	5	2
816	binomski	200	30	6	6
817	binomski	200	30	7	2
818	binomski	200	30	8	6
819	binomski	200	30	9	2
820	binomski	200	30	10	6
821	binomski	200	30	11	2
822	binomski	200	30	12	8
823	binomski	200	30	13	12
824	binomski	200	30	14	3
825	binomski	200	30	15	21
826	binomski	200	30	16	12
827	binomski	200	30	17	2
828	binomski	200	30	18	4
829	binomski	200	30	19	0
830	binomski	200	30	20	6
831	binomski	200	30	21	5
832	binomski	200	30	22	6
833	binomski	200	30	23	3
834	binomski	200	30	24	18
835	binomski	200	30	25	0
836	binomski	200	30	26	11
837	binomski	200	30	27	3
838	binomski	200	30	28	12
839	binomski	200	30	29	2
840	binomski	200	40	0	7
841	binomski	200	40	1	4
842	binomski	200	40	2	5
843	binomski	200	40	3	2
844	binomski	200	40	4	3
845	binomski	200	40	5	3
846	binomski	200	40	6	5
847	binomski	200	40	7	0
848	binomski	200	40	8	0
849	binomski	200	40	9	11
850	binomski	200	40	10	6
851	binomski	200	40	11	14
852	binomski	200	40	12	9
853	binomski	200	40	13	2
854	binomski	200	40	14	3
855	binomski	200	40	15	6
856	binomski	200	40	16	12
857	binomski	200	40	17	2
858	binomski	200	40	18	2
859	binomski	200	40	19	2
860	binomski	200	40	20	8
861	binomski	200	40	21	3
862	binomski	200	40	22	5
863	binomski	200	40	23	2
864	binomski	200	40	24	4
865	binomski	200	40	25	8
866	binomski	200	40	26	2
867	binomski	200	40	27	6
868	binomski	200	40	28	3
869	binomski	200	40	29	4
870	binomski	200	40	30	8
871	binomski	200	40	31	9
872	binomski	200	40	32	2
873	binomski	200	40	33	9
874	binomski	200	40	34	12
875	binomski	200	40	35	2
876	binomski	200	40	36	2
877	binomski	200	40	37	6
878	binomski	200	40	38	3
879	binomski	200	40	39	6
880	binomski	200	50	0	0
881	binomski	200	50	1	2
882	binomski	200	50	2	6
883	binomski	200	50	3	6
884	binomski	200	50	4	0
885	binomski	200	50	5	10
886	binomski	200	50	6	1
887	binomski	200	50	7	2
888	binomski	200	50	8	1
889	binomski	200	50	9	2
890	binomski	200	50	10	6
891	binomski	200	50	11	2
892	binomski	200	50	12	3
893	binomski	200	50	13	2
894	binomski	200	50	14	8
895	binomski	200	50	15	2
896	binomski	200	50	16	5
897	binomski	200	50	17	1
898	binomski	200	50	18	3
899	binomski	200	50	19	15
900	binomski	200	50	20	6
901	binomski	200	50	21	9
902	binomski	200	50	22	3
903	binomski	200	50	23	6
904	binomski	200	50	24	5
905	binomski	200	50	25	11
906	binomski	200	50	26	6
907	binomski	200	50	27	3
908	binomski	200	50	28	3
909	binomski	200	50	29	5
910	binomski	200	50	30	7
911	binomski	200	50	31	2
912	binomski	200	50	32	3
913	binomski	200	50	33	3
914	binomski	200	50	34	2
915	binomski	200	50	35	2
916	binomski	200	50	36	1
917	binomski	200	50	37	8
918	binomski	200	50	38	2
919	binomski	200	50	39	5
920	binomski	200	50	40	5
921	binomski	200	50	41	2
922	binomski	200	50	42	1
923	binomski	200	50	43	1
924	binomski	200	50	44	12
925	binomski	200	50	45	2
926	binomski	200	50	46	3
927	binomski	200	50	47	4
928	binomski	200	50	48	2
929	binomski	200	50	49	0
930	binomski	200	60	0	5
931	binomski	200	60	1	1
932	binomski	200	60	2	2
933	binomski	200	60	3	2
934	binomski	200	60	4	2
935	binomski	200	60	5	1
936	binomski	200	60	6	1
937	binomski	200	60	7	2
938	binomski	200	60	8	1
939	binomski	200	60	9	1
940	binomski	200	60	10	3
941	binomski	200	60	11	1
942	binomski	200	60	12	7
943	binomski	200	60	13	6
944	binomski	200	60	14	6
945	binomski	200	60	15	5
946	binomski	200	60	16	1
947	binomski	200	60	17	0
948	binomski	200	60	18	2
949	binomski	200	60	19	1
950	binomski	200	60	20	2
951	binomski	200	60	21	6
952	binomski	200	60	22	5
953	binomski	200	60	23	12
954	binomski	200	60	24	1
955	binomski	200	60	25	6
956	binomski	200	60	26	2
957	binomski	200	60	27	2
958	binomski	200	60	28	1
959	binomski	200	60	29	5
960	binomski	200	60	30	2
961	binomski	200	60	31	1
962	binomski	200	60	32	6
963	binomski	200	60	33	1
964	binomski	200	60	34	5
965	binomski	200	60	35	1
966	binomski	200	60	36	7
967	binomski	200	60	37	7
968	binomski	200	60	38	0
969	binomski	200	60	39	2
970	binomski	200	60	40	2
