ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	cikel	100	5	0	16
1	cikel	100	5	1	6
2	cikel	100	5	2	30
3	cikel	100	5	3	31
4	cikel	100	5	4	16
5	cikel	100	6	0	2
6	cikel	100	6	1	28
7	cikel	100	6	2	6
8	cikel	100	6	3	45
9	cikel	100	6	4	6
10	cikel	100	6	5	41
11	cikel	100	7	0	15
12	cikel	100	7	1	14
13	cikel	100	7	2	14
14	cikel	100	7	3	14
15	cikel	100	7	4	20
16	cikel	100	7	5	0
17	cikel	100	7	6	25
18	cikel	100	8	0	4
19	cikel	100	8	1	18
20	cikel	100	8	2	28
21	cikel	100	8	3	35
22	cikel	100	8	4	6
23	cikel	100	8	5	7
24	cikel	100	8	6	2
25	cikel	100	8	7	4
26	cikel	100	9	0	15
27	cikel	100	9	1	13
28	cikel	100	9	2	8
29	cikel	100	9	3	2
30	cikel	100	9	4	22
31	cikel	100	9	5	8
32	cikel	100	9	6	14
33	cikel	100	9	7	9
34	cikel	100	9	8	9
35	cikel	100	10	0	15
36	cikel	100	10	1	2
37	cikel	100	10	2	24
38	cikel	100	10	3	3
39	cikel	100	10	4	2
40	cikel	100	10	5	15
41	cikel	100	10	6	19
42	cikel	100	10	7	17
43	cikel	100	10	8	4
44	cikel	100	10	9	4
45	cikel	100	11	0	13
46	cikel	100	11	1	24
47	cikel	100	11	2	3
48	cikel	100	11	3	1
49	cikel	100	11	4	13
50	cikel	100	11	5	1
51	cikel	100	11	6	2
52	cikel	100	11	7	23
53	cikel	100	11	8	6
54	cikel	100	11	9	14
55	cikel	100	11	10	3
56	cikel	100	12	0	9
57	cikel	100	12	1	2
58	cikel	100	12	2	9
59	cikel	100	12	3	11
60	cikel	100	12	4	13
61	cikel	100	12	5	6
62	cikel	100	12	6	6
63	cikel	100	12	7	23
64	cikel	100	12	8	2
65	cikel	100	12	9	6
66	cikel	100	12	10	23
67	cikel	100	12	11	0
68	cikel	100	13	0	13
69	cikel	100	13	1	14
70	cikel	100	13	2	14
71	cikel	100	13	3	13
72	cikel	100	13	4	10
73	cikel	100	13	5	2
74	cikel	100	13	6	0
75	cikel	100	13	7	4
76	cikel	100	13	8	31
77	cikel	100	13	9	0
78	cikel	100	13	10	0
79	cikel	100	13	11	6
80	cikel	100	13	12	0
81	cikel	100	14	0	2
82	cikel	100	14	1	2
83	cikel	100	14	2	5
84	cikel	100	14	3	3
85	cikel	100	14	4	6
86	cikel	100	14	5	14
87	cikel	100	14	6	2
88	cikel	100	14	7	2
89	cikel	100	14	8	6
90	cikel	100	14	9	11
91	cikel	100	14	10	17
92	cikel	100	14	11	0
93	cikel	100	14	12	21
94	cikel	100	14	13	6
95	cikel	100	15	0	17
96	cikel	100	15	1	2
97	cikel	100	15	2	15
98	cikel	100	15	3	0
99	cikel	100	15	4	6
100	cikel	100	15	5	6
101	cikel	100	15	6	16
102	cikel	100	15	7	12
103	cikel	100	15	8	6
104	cikel	100	15	9	2
105	cikel	100	15	10	16
106	cikel	100	15	11	2
107	cikel	100	15	12	2
108	cikel	100	15	13	0
109	cikel	100	15	14	2
110	cikel	100	16	0	2
111	cikel	100	16	1	3
112	cikel	100	16	2	1
113	cikel	100	16	3	1
114	cikel	100	16	4	2
115	cikel	100	16	5	6
116	cikel	100	16	6	7
117	cikel	100	16	7	0
118	cikel	100	16	8	6
119	cikel	100	16	9	4
120	cikel	100	16	10	18
121	cikel	100	16	11	11
122	cikel	100	16	12	3
123	cikel	100	16	13	8
124	cikel	100	16	14	5
125	cikel	100	16	15	14
126	cikel	100	17	0	5
127	cikel	100	17	1	2
128	cikel	100	17	2	4
129	cikel	100	17	3	6
130	cikel	100	17	4	12
131	cikel	100	17	5	8
132	cikel	100	17	6	5
133	cikel	100	17	7	11
134	cikel	100	17	8	0
135	cikel	100	17	9	5
136	cikel	100	17	10	6
137	cikel	100	17	11	12
138	cikel	100	17	12	0
139	cikel	100	17	13	4
140	cikel	100	17	14	7
141	cikel	100	17	15	5
142	cikel	100	17	16	18
143	cikel	100	18	0	3
144	cikel	100	18	1	0
145	cikel	100	18	2	3
146	cikel	100	18	3	1
147	cikel	100	18	4	13
148	cikel	100	18	5	6
149	cikel	100	18	6	6
150	cikel	100	18	7	3
151	cikel	100	18	8	3
