ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	binomski	10	1	0	9
1	binomski	10	2	0	8
2	binomski	10	2	1	2
3	binomski	10	3	0	4
4	binomski	10	3	1	1
5	binomski	10	3	2	2
6	binomski	10	4	0	2
7	binomski	10	4	1	0
8	binomski	10	4	2	1
9	binomski	10	4	3	3
10	binomski	10	5	0	0
11	binomski	10	5	1	4
12	binomski	10	5	2	1
13	binomski	10	5	3	0
14	binomski	10	5	4	2
15	binomski	10	6	0	1
16	binomski	10	6	1	2
17	binomski	10	6	2	1
18	binomski	10	6	3	1
19	binomski	10	6	4	0
20	binomski	10	6	5	2
21	binomski	10	1	0	9
22	binomski	10	2	0	5
23	binomski	10	2	1	4
24	binomski	10	3	0	3
25	binomski	10	3	1	2
26	binomski	10	3	2	2
27	binomski	10	4	0	3
28	binomski	10	4	1	3
29	binomski	10	4	2	2
30	binomski	10	4	3	3
31	binomski	10	5	0	1
32	binomski	10	5	1	5
33	binomski	10	5	2	2
34	binomski	10	5	3	1
35	binomski	10	5	4	0
36	binomski	10	6	0	1
37	binomski	10	6	1	0
38	binomski	10	6	2	0
39	binomski	10	6	3	1
40	binomski	10	6	4	2
41	binomski	10	6	5	1
42	binomski	10	1	0	9
43	binomski	10	2	0	1
44	binomski	10	2	1	7
45	binomski	10	3	0	1
46	binomski	10	3	1	2
47	binomski	10	3	2	6
48	binomski	10	4	0	1
49	binomski	10	4	1	2
50	binomski	10	4	2	3
51	binomski	10	4	3	2
52	binomski	10	5	0	1
53	binomski	10	5	1	2
54	binomski	10	5	2	0
55	binomski	10	5	3	3
56	binomski	10	5	4	2
57	binomski	10	6	0	0
58	binomski	10	6	1	2
59	binomski	10	6	2	0
60	binomski	10	6	3	1
61	binomski	10	6	4	2
62	binomski	10	6	5	0
63	binomski	10	1	0	10
64	binomski	10	2	0	2
65	binomski	10	2	1	6
66	binomski	10	3	0	2
67	binomski	10	3	1	4
68	binomski	10	3	2	3
69	binomski	10	4	0	2
70	binomski	10	4	1	2
71	binomski	10	4	2	1
72	binomski	10	4	3	4
73	binomski	10	5	0	2
74	binomski	10	5	1	2
75	binomski	10	5	2	1
76	binomski	10	5	3	2
77	binomski	10	5	4	2
78	binomski	10	6	0	0
79	binomski	10	6	1	2
80	binomski	10	6	2	0
81	binomski	10	6	3	1
82	binomski	10	6	4	1
83	binomski	10	6	5	1
84	binomski	10	1	0	10
85	binomski	10	2	0	0
86	binomski	10	2	1	8
87	binomski	10	3	0	5
88	binomski	10	3	1	3
89	binomski	10	3	2	5
90	binomski	10	4	0	0
91	binomski	10	4	1	1
92	binomski	10	4	2	3
93	binomski	10	4	3	2
94	binomski	10	5	0	0
95	binomski	10	5	1	1
96	binomski	10	5	2	2
97	binomski	10	5	3	2
98	binomski	10	5	4	1
99	binomski	10	6	0	3
100	binomski	10	6	1	1
101	binomski	10	6	2	1
102	binomski	10	6	3	2
103	binomski	10	6	4	1
104	binomski	10	6	5	1
105	binomski	10	1	0	9
106	binomski	10	2	0	8
107	binomski	10	2	1	2
108	binomski	10	3	0	2
109	binomski	10	3	1	3
110	binomski	10	3	2	2
111	binomski	10	4	0	5
112	binomski	10	4	1	0
113	binomski	10	4	2	1
114	binomski	10	4	3	0
115	binomski	10	5	0	0
116	binomski	10	5	1	2
117	binomski	10	5	2	0
118	binomski	10	5	3	4
119	binomski	10	5	4	3
120	binomski	10	6	0	2
121	binomski	10	6	1	1
122	binomski	10	6	2	1
123	binomski	10	6	3	1
124	binomski	10	6	4	0
125	binomski	10	6	5	0
126	binomski	10	1	0	9
127	binomski	10	2	0	8
128	binomski	10	2	1	2
129	binomski	10	3	0	2
130	binomski	10	3	1	2
131	binomski	10	3	2	3
132	binomski	10	4	0	2
133	binomski	10	4	1	2
134	binomski	10	4	2	2
135	binomski	10	4	3	0
136	binomski	10	5	0	0
137	binomski	10	5	1	3
138	binomski	10	5	2	0
139	binomski	10	5	3	1
140	binomski	10	5	4	2
141	binomski	10	6	0	0
142	binomski	10	6	1	0
143	binomski	10	6	2	2
144	binomski	10	6	3	3
145	binomski	10	6	4	3
146	binomski	10	6	5	2
147	binomski	10	1	0	9
148	binomski	10	2	0	9
149	binomski	10	2	1	1
150	binomski	10	3	0	0
151	binomski	10	3	1	6
152	binomski	10	3	2	4
153	binomski	10	4	0	1
154	binomski	10	4	1	0
155	binomski	10	4	2	4
156	binomski	10	4	3	3
157	binomski	10	5	0	2
158	binomski	10	5	1	3
159	binomski	10	5	2	1
160	binomski	10	5	3	0
161	binomski	10	5	4	1
162	binomski	10	6	0	2
163	binomski	10	6	1	0
164	binomski	10	6	2	1
165	binomski	10	6	3	2
166	binomski	10	6	4	1
167	binomski	10	6	5	0
168	binomski	10	1	0	9
169	binomski	10	2	0	3
170	binomski	10	2	1	5
171	binomski	10	3	0	3
172	binomski	10	3	1	0
173	binomski	10	3	2	6
174	binomski	10	4	0	2
175	binomski	10	4	1	0
176	binomski	10	4	2	4
177	binomski	10	4	3	0
178	binomski	10	5	0	1
179	binomski	10	5	1	3
180	binomski	10	5	2	0
181	binomski	10	5	3	0
182	binomski	10	5	4	1
183	binomski	10	6	0	0
184	binomski	10	6	1	1
185	binomski	10	6	2	2
186	binomski	10	6	3	1
187	binomski	10	6	4	3
188	binomski	10	6	5	1
189	binomski	10	1	0	9
190	binomski	10	2	0	8
191	binomski	10	2	1	1
192	binomski	10	3	0	3
193	binomski	10	3	1	2
194	binomski	10	3	2	2
195	binomski	10	4	0	3
196	binomski	10	4	1	2
197	binomski	10	4	2	2
198	binomski	10	4	3	2
199	binomski	10	5	0	3
200	binomski	10	5	1	1
201	binomski	10	5	2	1
202	binomski	10	5	3	2
203	binomski	10	5	4	2
204	binomski	10	6	0	2
205	binomski	10	6	1	1
206	binomski	10	6	2	3
207	binomski	10	6	3	0
208	binomski	10	6	4	2
209	binomski	10	6	5	0
210	binomski	10	1	0	9
211	binomski	10	2	0	5
212	binomski	10	2	1	6
