ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	binomski	50	1	0	49
1	binomski	50	1	0	49
2	binomski	50	1	0	50
3	binomski	50	2	0	46
4	binomski	50	2	1	2
5	binomski	50	1	0	49
6	binomski	50	2	0	46
7	binomski	50	2	1	2
8	binomski	50	1	0	49
9	binomski	50	2	0	34
10	binomski	50	2	1	14
11	binomski	50	3	0	13
12	binomski	50	3	1	34
13	binomski	50	3	2	0
14	binomski	50	1	0	49
15	binomski	50	2	0	46
16	binomski	50	2	1	6
17	binomski	50	3	0	14
18	binomski	50	3	1	41
19	binomski	50	3	2	2
20	binomski	50	1	0	49
21	binomski	50	2	0	46
22	binomski	50	2	1	46
23	binomski	50	3	0	14
24	binomski	50	3	1	16
25	binomski	50	3	2	17
26	binomski	50	4	0	13
27	binomski	50	4	1	2
28	binomski	50	4	2	14
29	binomski	50	4	3	18
30	binomski	50	1	0	49
31	binomski	50	2	0	9
32	binomski	50	2	1	39
33	binomski	50	3	0	42
34	binomski	50	3	1	3
35	binomski	50	3	2	3
36	binomski	50	4	0	15
37	binomski	50	4	1	2
38	binomski	50	4	2	23
39	binomski	50	4	3	23
40	binomski	50	1	0	49
41	binomski	50	2	0	42
42	binomski	50	2	1	6
43	binomski	50	3	0	45
44	binomski	50	3	1	43
45	binomski	50	3	2	0
46	binomski	50	4	0	32
47	binomski	50	4	1	14
48	binomski	50	4	2	14
49	binomski	50	4	3	15
50	binomski	50	5	0	12
51	binomski	50	5	1	6
52	binomski	50	5	2	5
53	binomski	50	5	3	14
54	binomski	50	5	4	13
55	binomski	50	1	0	49
56	binomski	50	2	0	14
57	binomski	50	2	1	34
58	binomski	50	3	0	14
59	binomski	50	3	1	27
60	binomski	50	3	2	27
61	binomski	50	4	0	17
62	binomski	50	4	1	29
63	binomski	50	4	2	14
64	binomski	50	4	3	2
65	binomski	50	5	0	0
66	binomski	50	5	1	4
67	binomski	50	5	2	30
68	binomski	50	5	3	5
69	binomski	50	5	4	23
70	binomski	50	2	0	30
71	binomski	50	2	1	18
72	binomski	50	3	0	23
73	binomski	50	3	1	18
74	binomski	50	3	2	23
75	binomski	50	4	0	9
76	binomski	50	4	1	6
77	binomski	50	4	2	9
78	binomski	50	4	3	24
79	binomski	50	5	0	6
80	binomski	50	5	1	9
81	binomski	50	5	2	15
82	binomski	50	5	3	16
83	binomski	50	5	4	12
84	binomski	50	6	0	1
85	binomski	50	6	1	1
86	binomski	50	6	2	5
87	binomski	50	6	3	7
88	binomski	50	6	4	28
89	binomski	50	6	5	3
90	binomski	50	2	0	14
91	binomski	50	2	1	34
92	binomski	50	3	0	34
93	binomski	50	3	1	31
94	binomski	50	3	2	31
95	binomski	50	4	0	16
96	binomski	50	4	1	9
97	binomski	50	4	2	8
98	binomski	50	4	3	16
99	binomski	50	5	0	11
100	binomski	50	5	1	4
101	binomski	50	5	2	4
102	binomski	50	5	3	2
103	binomski	50	5	4	36
104	binomski	50	6	0	12
105	binomski	50	6	1	2
106	binomski	50	6	2	8
107	binomski	50	6	3	6
108	binomski	50	6	4	15
109	binomski	50	6	5	5
110	binomski	50	2	0	14
111	binomski	50	2	1	34
112	binomski	50	3	0	17
113	binomski	50	3	1	14
114	binomski	50	3	2	17
115	binomski	50	4	0	14
116	binomski	50	4	1	24
117	binomski	50	4	2	6
118	binomski	50	4	3	14
119	binomski	50	5	0	4
120	binomski	50	5	1	6
121	binomski	50	5	2	1
122	binomski	50	5	3	12
123	binomski	50	5	4	23
124	binomski	50	6	0	11
125	binomski	50	6	1	7
126	binomski	50	6	2	7
127	binomski	50	6	3	2
128	binomski	50	6	4	17
129	binomski	50	6	5	2
130	binomski	50	7	0	7
131	binomski	50	7	1	18
132	binomski	50	7	2	6
133	binomski	50	7	3	2
134	binomski	50	7	4	2
135	binomski	50	7	5	6
136	binomski	50	7	6	7
137	binomski	50	2	0	9
138	binomski	50	2	1	43
139	binomski	50	3	0	18
140	binomski	50	3	1	24
141	binomski	50	3	2	6
142	binomski	50	4	0	9
143	binomski	50	4	1	6
144	binomski	50	4	2	16
145	binomski	50	4	3	18
146	binomski	50	5	0	18
147	binomski	50	5	1	15
148	binomski	50	5	2	6
149	binomski	50	5	3	2
150	binomski	50	5	4	8
151	binomski	50	6	0	9
152	binomski	50	6	1	8
153	binomski	50	6	2	17
154	binomski	50	6	3	13
155	binomski	50	6	4	0
156	binomski	50	6	5	2
157	binomski	50	7	0	8
158	binomski	50	7	1	6
159	binomski	50	7	2	6
160	binomski	50	7	3	15
161	binomski	50	7	4	0
162	binomski	50	7	5	6
163	binomski	50	7	6	6
164	binomski	50	2	0	2
165	binomski	50	2	1	46
166	binomski	50	3	0	8
167	binomski	50	3	1	11
168	binomski	50	3	2	30
169	binomski	50	4	0	2
170	binomski	50	4	1	3
171	binomski	50	4	2	28
172	binomski	50	4	3	14
173	binomski	50	5	0	30
174	binomski	50	5	1	0
175	binomski	50	5	2	8
176	binomski	50	5	3	5
177	binomski	50	5	4	5
178	binomski	50	6	0	0
179	binomski	50	6	1	26
180	binomski	50	6	2	6
181	binomski	50	6	3	6
182	binomski	50	6	4	6
183	binomski	50	6	5	10
184	binomski	50	7	0	2
185	binomski	50	7	1	19
186	binomski	50	7	2	8
187	binomski	50	7	3	2
188	binomski	50	7	4	7
189	binomski	50	7	5	6
190	binomski	50	7	6	6
191	binomski	50	8	0	5
192	binomski	50	8	1	2
193	binomski	50	8	2	7
194	binomski	50	8	3	3
195	binomski	50	8	4	3
196	binomski	50	8	5	11
197	binomski	50	8	6	13
198	binomski	50	8	7	2
199	binomski	50	2	0	31
200	binomski	50	2	1	18
201	binomski	50	3	0	18
202	binomski	50	3	1	6
203	binomski	50	3	2	28
204	binomski	50	4	0	2
205	binomski	50	4	1	14
206	binomski	50	4	2	17
207	binomski	50	4	3	15
208	binomski	50	5	0	9
209	binomski	50	5	1	3
210	binomski	50	5	2	15
211	binomski	50	5	3	14
212	binomski	50	5	4	6
213	binomski	50	6	0	2
214	binomski	50	6	1	14
215	binomski	50	6	2	2
216	binomski	50	6	3	6
217	binomski	50	6	4	9
218	binomski	50	6	5	13
219	binomski	50	7	0	7
220	binomski	50	7	1	15
221	binomski	50	7	2	2
222	binomski	50	7	3	4
223	binomski	50	7	4	2
224	binomski	50	7	5	15
225	binomski	50	7	6	7
226	binomski	50	8	0	2
227	binomski	50	8	1	24
228	binomski	50	8	2	26
229	binomski	50	8	3	0
230	binomski	50	8	4	23
231	binomski	50	8	5	6
232	binomski	50	8	6	24
233	binomski	50	8	7	0
234	binomski	50	2	0	6
235	binomski	50	2	1	46
236	binomski	50	3	0	6
237	binomski	50	3	1	23
238	binomski	50	3	2	18
239	binomski	50	4	0	6
240	binomski	50	4	1	14
241	binomski	50	4	2	12
