ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	3dmreze	36	1	0	35
1	3dmreze	36	1	0	35
2	3dmreze	36	1	0	35
3	3dmreze	36	2	0	23
4	3dmreze	36	2	1	20
5	3dmreze	36	1	0	35
6	3dmreze	36	2	0	20
7	3dmreze	36	2	1	14
8	3dmreze	36	1	0	35
9	3dmreze	36	2	0	17
10	3dmreze	36	2	1	17
11	3dmreze	36	3	0	10
12	3dmreze	36	3	1	13
13	3dmreze	36	3	2	14
14	3dmreze	36	1	0	35
15	3dmreze	36	2	0	17
16	3dmreze	36	2	1	17
17	3dmreze	36	3	0	15
18	3dmreze	36	3	1	12
19	3dmreze	36	3	2	11
20	3dmreze	36	1	0	35
21	3dmreze	36	2	0	21
22	3dmreze	36	2	1	14
23	3dmreze	36	3	0	8
24	3dmreze	36	3	1	14
25	3dmreze	36	3	2	18
26	3dmreze	36	4	0	7
27	3dmreze	36	4	1	11
28	3dmreze	36	4	2	7
29	3dmreze	36	4	3	10
30	3dmreze	36	1	0	35
31	3dmreze	36	2	0	29
32	3dmreze	36	2	1	23
33	3dmreze	36	3	0	16
34	3dmreze	36	3	1	13
35	3dmreze	36	3	2	21
36	3dmreze	36	4	0	13
37	3dmreze	36	4	1	7
38	3dmreze	36	4	2	18
39	3dmreze	36	4	3	6
40	3dmreze	36	1	0	35
41	3dmreze	36	2	0	15
42	3dmreze	36	2	1	19
43	3dmreze	36	3	0	9
44	3dmreze	36	3	1	12
45	3dmreze	36	3	2	17
46	3dmreze	36	4	0	6
47	3dmreze	36	4	1	12
48	3dmreze	36	4	2	12
49	3dmreze	36	4	3	10
50	3dmreze	36	5	0	11
51	3dmreze	36	5	1	15
52	3dmreze	36	5	2	15
53	3dmreze	36	5	3	7
54	3dmreze	36	5	4	2
55	3dmreze	36	1	0	35
56	3dmreze	36	2	0	19
57	3dmreze	36	2	1	31
58	3dmreze	36	3	0	17
59	3dmreze	36	3	1	13
60	3dmreze	36	3	2	13
61	3dmreze	36	4	0	14
62	3dmreze	36	4	1	11
63	3dmreze	36	4	2	9
64	3dmreze	36	4	3	4
65	3dmreze	36	5	0	8
66	3dmreze	36	5	1	10
67	3dmreze	36	5	2	2
68	3dmreze	36	5	3	12
69	3dmreze	36	5	4	9
70	3dmreze	36	2	0	21
71	3dmreze	36	2	1	25
72	3dmreze	36	3	0	12
73	3dmreze	36	3	1	22
74	3dmreze	36	3	2	21
75	3dmreze	36	4	0	9
76	3dmreze	36	4	1	18
77	3dmreze	36	4	2	11
78	3dmreze	36	4	3	9
79	3dmreze	36	5	0	7
80	3dmreze	36	5	1	10
81	3dmreze	36	5	2	16
82	3dmreze	36	5	3	3
83	3dmreze	36	5	4	11
84	3dmreze	36	6	0	8
85	3dmreze	36	6	1	11
86	3dmreze	36	6	2	5
87	3dmreze	36	6	3	11
88	3dmreze	36	6	4	4
89	3dmreze	36	6	5	7
90	3dmreze	36	2	0	20
91	3dmreze	36	2	1	26
92	3dmreze	36	3	0	11
93	3dmreze	36	3	1	10
94	3dmreze	36	3	2	15
95	3dmreze	36	4	0	5
96	3dmreze	36	4	1	15
